t,i,q,dq,q_des,dq_des
0.233056,0,0.127514,1.139621,0.199969,0.000000
0.235057,0,0.130198,1.141909,0.201368,0.000000
0.237056,0,0.132116,1.206454,0.202758,0.000000
0.239057,0,0.134417,1.163424,0.204140,0.000000
0.241057,0,0.136718,1.069123,0.205514,0.000000
0.243058,0,0.139019,1.127261,0.206880,0.000000
0.245058,0,0.141319,1.158847,0.208238,0.000000
0.247057,0,0.143237,1.126345,0.209586,0.000000
0.249057,0,0.145538,1.133670,0.210928,0.000000
0.251057,0,0.147840,1.077363,0.212260,0.000000
0.253057,0,0.149758,1.087891,0.213584,0.000000
0.255057,0,0.152059,1.075532,0.214900,0.000000
0.257057,0,0.154360,1.132296,0.216207,0.000000
0.259057,0,0.156661,1.081941,0.217506,0.000000
0.261057,0,0.158578,1.073701,0.218796,0.000000
0.263058,0,0.160879,1.031587,0.220078,0.000000
0.265057,0,0.162797,1.059052,0.221350,0.000000
0.267058,0,0.165098,1.070496,0.222615,0.000000
0.269058,0,0.167015,1.059510,0.223870,0.000000
0.271057,0,0.169316,1.097962,0.225116,0.000000
0.273067,0,0.171234,0.976195,0.226359,0.000000
0.275057,0,0.173151,0.970244,0.227582,0.000000
0.277058,0,0.175069,0.977111,0.228801,0.000000
0.279057,0,0.176986,0.997712,0.230011,0.000000
0.281057,0,0.178904,0.999543,0.231212,0.000000
0.283057,0,0.181204,1.020142,0.232404,0.000000
0.285057,0,0.183122,0.995879,0.233588,0.000000
0.287057,0,0.185039,0.982604,0.234761,0.000000
0.289057,0,0.186957,0.910277,0.235926,0.000000
0.291057,0,0.188491,0.953765,0.237080,0.000000
0.293057,0,0.190408,0.956511,0.238226,0.000000
0.295057,0,0.192326,0.898376,0.239363,0.000000
0.297057,0,0.194243,0.924468,0.240489,0.000000
0.299057,0,0.196161,0.919890,0.241607,0.000000
0.301057,0,0.197695,0.986266,0.242714,0.000000
0.303057,0,0.199612,0.884643,0.243812,0.000000
0.305056,0,0.201146,0.869992,0.244900,0.000000
0.307057,0,0.203064,0.926299,0.245979,0.000000
0.309055,0,0.204981,0.868619,0.247047,0.000000
0.311057,0,0.206515,0.869077,0.248108,0.000000
0.313056,0,0.208049,0.840238,0.249156,0.000000
0.315057,0,0.209583,0.792630,0.250196,0.000000
0.317056,0,0.211117,0.828794,0.251225,0.000000
0.319057,0,0.212651,0.845731,0.252246,0.000000
0.321056,0,0.214185,0.823300,0.253255,0.000000
0.323057,0,0.216103,0.827878,0.254255,0.000000
0.325057,0,0.217253,0.772946,0.255245,0.000000
0.327058,0,0.219171,0.790799,0.256225,0.000000
0.329057,0,0.220321,0.686427,0.257194,0.000000
0.331057,0,0.221855,0.765164,0.258153,0.000000
0.333057,0,0.223389,0.750057,0.259102,0.000000
0.335057,0,0.224923,0.701534,0.260041,0.000000
0.337057,0,0.226457,0.732204,0.260969,0.000000
